QUESTION_ID,TOPIC,SUBTOPIC,MOCK_APPEARANCE,BLUEBOOK_APPEARANEC,QUESTION_PROMPT
4b0c156b,ALGEBRA,Linear Functions,,BB6 UPPER,"In the linear function ,Ã‚Â  andÃ‚Â . Which equation defines ?"
4b642eef,ADV_MATH,Nonlinear Functions,901D Upper,,"The total distance d, in meters, traveled by an object moving in a straight line can be modeled by a quadratic function that is defined in terms of t, where t is the time in seconds. At a time of 10.0 seconds, the total distance traveled by the object is 50.0 meters, and at a time of 20.0 seconds, the total distance traveled by the object is 200.0 meters. If the object was at a distance of 0 meters when , then what is the total distance traveled, in meters, by the object after 30.0 seconds?"
4b76c7f1,ALGEBRA,Systems of Linear Equations,,,"In the given system of equations, a is a constant. If the system has infinitely many solutions, what is the value of a ?"
4b7bb316,GEOM_TRIG,Area & Volume,,BB5 MEDIUM,"The length of each edge of a box is inches. Each side of the box is in the shape of a square. The box does not have a lid. What is the exterior surface area, in square inches, of this box without a lid?"
4bb25495,PSDA,Data 1 Variable,,,"Five Smallest Countries in 2016 Country Land area Ã‚ (square kilometers) Monaco 2.0 Nauru 21 San Marino 61 Tuvalu 26 Vatican City 0.44 The table above shows the land area, in square kilometers, of the five smallest countries of the world in 2016. Based on the table, what is the mean land area of the 5 smallest countries in 2016, to the nearest square kilometer?"
4c774b00,PSDA,Data 1 Variable,902D Medium,,"Ages of 20 Students Enrolled in a College ClassÃ‚ Age Frequency 18 6 19 5 20 4 21 2 22 1 23 1 30 1 The table above shows the distribution of ages of the 20 students enrolled in a college class. Which of the following gives the correct order of the mean, median, and mode of the ages?"
4c95c7d4,GEOM_TRIG,Right Angle Trigonometry,,,"A graphic designer is creating a logo for a company. The logo is shown in the figure above. The logo isÃ‚ inÃ‚ the shape of a trapezoid and consists of threeÃ‚ congruent equilateral triangles. If the perimeter of the logo is 20Ã‚ centimeters, what is the combined area of the shaded regions, in square centimeters, of the logo?"
4ca30186,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,The graph of a system of a linear equation and a nonlinear equation is shown. What is the solution to this system?
4cc05491,PSDA,Data 2 Variable,,,"In the given scatterplot, a line of best fit for the data is shown. Which of the following is closest to the slope of the line of best fit shown?"
4d037075,ADV_MATH,Nonlinear Functions,,,"The rational function is defined by an equation in the form , where and are constants. The partial graph ofÃ‚ is shown. IfÃ‚ , which equation could define function ?"
4d7064a6,ADV_MATH,Nonlinear Functions,,,The function is defined by the given equation. For what value of does reach its minimum?
4dc5c6f9,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,BB5 UPPER,"If the given equations are graphed in the xy-plane, at how many points do the graphs of the equations intersect?"
4dd4efcf,ADV_MATH,Nonlinear Functions,,,"In the given quadratic function, and are constants. The graph ofÃ‚ in the xy-plane is a parabola that opens upward and has a vertex at the point , where and are constants. IfÃ‚ andÃ‚ , which of the following must be true?"
4de87c9a,ALGEBRA,Linear Equations 1 Variable,,,more than times a number is equal to . Which equation represents this situation?
4e18fc5d,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,"The given equation relates the distinct positive numbers , , and . Which equation correctly expresses in terms of and ?"
4e375d1f,PSDA,Rates & Proportions,,BB6 LOWER,How many meters are equivalent to centimeters?
4e527894,PSDA,Probability,,,"There are buttons in a bag: white buttons, orange buttons, and brown buttons. If one of these buttons is selected at random, what is the probability of selecting a white button?"
4e77195b,ALGEBRA,Linear Equations 1 Variable,,,"If , what is the value of ?"
4e97f862,ALGEBRA,Linear Functions,,,The function is defined byÃ‚Â . What is the value ofÃ‚Â ?
4eaf0a3a,ADV_MATH,Equivalent Expressions,,,"Which expression is equivalent to , where and are positive?"
4ec95eab,ALGEBRA,Systems of Linear Equations,,BB8 LOWER,The solution to the given system of equations isÃ‚ . What is the value of ?
4efea6a3,GEOM_TRIG,Area & Volume,,,"The area of a rectangle is square inches. The length of the longest side of the rectangle is inches. What is the length, in inches, of the shortest side of this rectangle?"
4f669597,ALGEBRA,Linear Equations 1 Variable,,,What value of p is the solution of the equation above?
4f7981a0,ALGEBRA,Linear Equations 1 Variable,902D Medium,,"If , what is the value of ?"
4fb8a648,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,BB5 UPPER,A solution to the given system of equations is . What is the greatest possible value of ?
4fbffc0a,ADV_MATH,Nonlinear Functions,,,"The graph shows the height above ground, in meters, of a ball seconds after the ball was launched upward from a platform. Which statement is the best interpretation of the marked point in this context?"
4fe4fd7c,ALGEBRA,Linear Functions,902D Medium,,"A companyÃ¢â‚¬â„¢s total cost , in dollars, to produce x shirts is given by the function above, where m is a constant and . The total cost to produce 100 shirts is $800. What is the total cost, in dollars, to produce 1000 shirts? (Disregard the $ sign when gridding your answer.)"
4ff597db,PSDA,Data 1 Variable,901D Upper,,"The mean amount of time that the 20Ã‚ employees of a construction company have worked for the company is 6.7Ã‚ years. After one of the employees leaves the company, the mean amount of time that the remaining employees have worked for the company is reduced to 6.25Ã‚ years. How many years did the employee who left the company work for the company?"
4ff7b652,GEOM_TRIG,"Lines, Angles, Triangles",,BB9 UPPER,"Right triangles and are similar, where and correspond to and , respectively. Angle has a measure of . What is the measure of angle ?"
50418728,ADV_MATH,Nonlinear Functions,903D Lower,,"The graph of the polynomial function , where , is shown. The y-intercept of the graph is . What is the value of ?"
50b2807e,PSDA,Data 2 Variable,,,"The scatterplot shows the relationship between two variables, and . Which of the following equations is the most appropriate linear model for the data shown?"
50b99b2d,PSDA,Rates & Proportions,,,"Objects R and S each travel at a constant speed. The speed of object R is half the speed of object S. Object R travels a distance of inches in seconds. Which expression represents the time, in seconds, it takes object S to travel a distance of inches?"
50e40f08,ADV_MATH,Nonlinear Functions,,,"If the given function is graphed in the xy-plane, where , what is the x-coordinate of an x-intercept of the graph?"
50f4cb9c,ALGEBRA,Linear Functions,,,"For the linear function , the table shows three values of and their corresponding values of . Function is defined by , where and are constants. What is the value of ?"
5154615f,PSDA,Rates & Proportions,,,"To study fluctuations in composition, samples of pumice were taken from locations and cut in the shape of a cube. The length of the edge of one of these cubes is centimeters. This cube has a density ofÃ‚ grams per cubic centimeter. What is the mass of this cube, in grams?"
51aabd93,ALGEBRA,Linear Equations 1 Variable,,BB6 LOWER,What value of is the solution to the given equation?
51c9d65f,PSDA,Rates & Proportions,,,"For a certain rectangular region, the ratio of its length to its width is to . If the width of the rectangular region increases by units, how must the length change to maintain this ratio?"
51f26ce8,GEOM_TRIG,"Lines, Angles, Triangles",,,"is similar to . The lengths represented byÃ‚ ,Ã‚ ,Ã‚ , andÃ‚ in the figure are , , , and , respectively. What is the length of ?"
5207e508,GEOM_TRIG,"Lines, Angles, Triangles",,,"In the figure, line is parallel to line . What is the value of ?"
520c8177,ALGEBRA,Linear Functions,,BB5 MEDIUM,"A veterinarian recommends that each day a certain rabbit should eat calories per pound of the rabbitÃ¢â‚¬â„¢s weight, plus an additional calories. Which equation represents this situation, where is the total number of calories the veterinarian recommends the rabbit should eat each day if the rabbitÃ¢â‚¬â„¢s weight is pounds?"
520e6f5b,ALGEBRA,Linear Equations 2 Variables,,,"Characteristics for Rock Types Rock type Weight per volume (lb/ft ) Cost per pound Basalt 180 $0.18 Granite 165 $0.09 Limestone 120 $0.03 Sandstone 135 $0.22 A city is planning to build a rock retaining wall, a monument, and a garden in a park. The table above shows four rock types that will be considered for use in the project. Also shown for each rock type is its weight per volume, in pounds per cubic foot (lb/ft ), and the cost per pound, in dollars. The equation gives the total cost, in dollars, of the rocks used in the project in terms of the number of ft of limestone, w, and the number of ft of basalt, z. All four rock types are used in the project. Which of the following is the best interpretation of 3,385.80 in this context?"
5252e606,GEOM_TRIG,Area & Volume,902D Lower,,"The side length of a square is . What is the area, , of the square?"
5267c3c7,PSDA,Percentages,,BB5 UPPER,The result of increasing the quantity by is . What is the value of ?
52931bfa,ADV_MATH,Equivalent Expressions,,BB9 UPPER,"Which expression is equivalent to , where ?"
52a8ef85,ALGEBRA,Linear Equations 2 Variables,,,"The equation represents the number of sweaters, , and number of shirts, , that Yesenia purchased for . If Yesenia purchased sweaters, how many shirts did she purchase?"
52b1700c,ADV_MATH,Nonlinear Functions,,,"Time (years) Total amount (dollars) Rosa opened a savings account at a bank. The table shows the exponential relationship between the time , in years, since Rosa opened the account and the total amount , in dollars, in the account. If Rosa made no additional deposits or withdrawals, which of the following equations best represents the relationship between and ?"
52cb8ea4,ALGEBRA,Systems of Linear Equations,,,"If is the solution to the system of equations above, what is the value ofÃ‚ Ã‚ ?"
52f7b898,GEOM_TRIG,Right Angle Trigonometry,,,Right triangle is shown. What is the value ofÃ‚ ?
52f9a246,PSDA,Data 1 Variable,,,", , , , , , , , Which frequency table correctly represents the data listed?"
53487897,ALGEBRA,Linear Functions,,BB6 MEDIUM,"The relationship between two variables, and , is linear. For every increase in the value of by , the value of increases by . When the value of is , the value of is . Which equation represents this relationship?"
5355c0ef,ADV_MATH,Equivalent Expressions,903D Lower,,"The given expression can be rewritten as , where is a constant. What is the value of ?"
535fa6e6,ALGEBRA,Linear Equations 2 Variables,,,"Davio bought some potatoes and celery. The potatoes cost per pound, and the celery cost per pound. If Davio spent in total and bought twice as many pounds of celery as pounds of potatoes, how many pounds of celery did Davio buy?"
5377d9cf,ADV_MATH,Nonlinear Functions,,,"If , what is ?"
53d97af5,PSDA,Sample Size & ME,902D Medium,,"A study was done on the weights of different types of fish in a pond. A random sample of fish were caught and marked in order to ensure that none were weighed more than once. The sample contained 150Ã‚ largemouth bass, of which 30% weighed more than 2 pounds. Which of the following conclusions is best supported by the sample data?"
541bef2f,ALGEBRA,Linear Inequalities,,BB10 UPPER,Which point is a solution to the given system of inequalities in the xy-plane?
548a4929,ALGEBRA,Linear Functions,,BB9 UPPER,"The function is defined by . The graph of in the xy-plane has an x-intercept at and a y- intercept at , where and are constants. What is the value of ?"
54cb53cf,PSDA,Percentages,,BB6 MEDIUM,"The number of zebras in a population in was times the number of zebras in this population in . If the number of zebras in this population in is of the number of zebras in this population in , what is the value of , to the nearest whole number?"
54d93874,PSDA,Data 1 Variable,,,"Masses (kilograms) Andrew 2.4 2.5 3.6 3.1 2.5 2.7 Maria x 3.1 2.7 2.9 3.3 2.8 Ã‚ Andrew and Maria each collected six rocks, and the masses of the rocks are shown in the table above. The mean of the masses of the rocks Maria collected is 0.1 kilogram greater than the mean of the masses of the rocks Andrew collected. What is the value of x ?"
550b352c,ALGEBRA,Linear Equations 1 Variable,901D Medium,,How many solutions exist to the equation shown above?
5518885d,ALGEBRA,Linear Equations 2 Variables,,BB6 MEDIUM,"The equationÃ‚ represents the number of minutes of daylight (between sunrise and sunset), , and the number of minutes of non-daylight, , on a particular day in Oak Park, Illinois. If this day has minutes of daylight, how many minutes of non-daylight does it have?"
551c52b9,PSDA,Rates & Proportions,,,"Tilly earns dollars for every hours of work. Which expression represents the amount of money, in dollars, Tilly earns for hours of work?"
55447be2,ALGEBRA,Systems of Linear Equations,,,The solution to the given system of equations is . What is the value of ?
55818046,PSDA,Percentages,1000D Upper,,"According to the 2010 Census, the adult population aged 18 years or greater of the United States in 2010 was 234,564,071. In 2010, a survey was conducted among a randomly chosen sample of adults aged 18 years or greater in the United States about their preference to live in a warm climate or a cool climate. The table below displays a summary of the survey results. Climate Preferences Ã‚ Warm Cool No preference Total 18Ã¢â‚¬â€œ35 years old 295 168 45 508 36Ã¢â‚¬â€œ50 years old 246 123 41 410 51Ã¢â‚¬â€œ65 years old 238 117 48 403 Greater than 65 years old 137 78 64 279 Total 916 486 198 1,600 Ã‚ Which of the following is closest to the difference between the percentage of adults aged 18Ã¢â‚¬â€œ50 years who responded Ã¢â‚¬Å“warmÃ¢â‚¬Â and the percentage of adults aged 51Ã‚ years or greater who responded Ã¢â‚¬Å“warmÃ¢â‚¬Â?"
55bb437a,GEOM_TRIG,Right Angle Trigonometry,,,"In the figure above,Ã‚ . If and , what is the length of ?"
55cfaf22,PSDA,Data 1 Variable,,,"Data set X: , , , Data set Y: , , , , The lists give the values in data sets X and Y. Which statement correctly compares the mean of data set X and the mean of data set Y?"
560fab82,PSDA,Data 1 Variable,,,The table shows the frequency of values in a data set. Value Frequency What is the minimum value of the data set?
563407e5,ALGEBRA,Linear Inequalities,,,A bakery sells trays of cookies. Each tray contains at least 50Ã‚ cookies but no more than 60. Which of the following could be the total number of cookies on 4Ã‚ trays of cookies?
5639dd1a,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,What is the positive solution to the given equation?
566759ef,PSDA,Percentages,,,"Thomas installed a new stove in his restaurant. At the time of installation, the stove had a value of $800. Thomas estimates that each year the value of the stove will depreciate by 20% of the previous yearÃ¢â‚¬â„¢s estimated value. What is the estimated value of the stove exactly 2Ã‚ years after Thomas installed it?"
567ac7ab,ALGEBRA,Systems of Linear Equations,,,One of the two equations in a linear system is . The system has no solution. Which of the following could be the other equation in the system?
568aaf27,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",903D Lower,,"If is a solution to the system of equations above, which of the following is a possible value of x?"
568d66a7,GEOM_TRIG,Right Angle Trigonometry,,,"An isosceles right triangle has a perimeter of inches. What is the length, in inches, of one leg of this triangle?"
56dc8045,ALGEBRA,Linear Functions,,BB10 MEDIUM,"The function models the volume of liquid, in milliliters, in a container seconds after it begins draining from a hole at the bottom. According to the model, what is the predicted volume, in milliliters, draining from the container each second?"
56e373b3,ALGEBRA,Linear Equations 1 Variable,,BB6 UPPER,"A manager is responsible for ordering supplies for a shaved ice shop. The shop's inventory starts with paper cups, and the manager estimates that of these paper cups are used each day. Based on this estimate, in how many days will the supply of paper cups reach ?"
5733ce30,GEOM_TRIG,"Lines, Angles, Triangles",901D Medium,,"In the given figure, extends to point D. If the measure of is equal to the measure of , what is the value of x ?"
57481175,PSDA,Data 1 Variable,,,The bar graph shows the number of each type of monkey in a sanctuary.Ã‚ 12 11 10 9 8 7 6 5 4 3 2 1 0 Number of monkeys mandrill baboon pygmy marmoset bonnet macaque vervet Type of monkey How many more vervets are in this sanctuary than mandrills?
575f1e12,GEOM_TRIG,Area & Volume,,BB9 LOWER,"What is the area, in square centimeters, of a rectangle with a length of and a width of ?"
57f45509,PSDA,Data 1 Variable,,,The box plot summarizes data values. What is the median of this data set?
5805e747,ADV_MATH,Equivalent Expressions,,BB8 MEDIUM,Which expression is equivalent to ?
58171b5e,PSDA,Data 2 Variable,,BB8 MEDIUM,"Each year, the value of an investment increases by of its value the previous year. Which of the following functions best models how the value of the investment changes over time?"
585de39a,PSDA,Probability,,,"On May 10, 2015, there were 83 million Internet subscribers in Nigeria. The major Internet providers were MTN, Globacom, Airtel, Etisalat, and Visafone. By September 30, 2015, the number of Internet subscribers in Nigeria had increased to 97 million. If an Internet subscriber in Nigeria on September 30, 2015, is selected at random, the probability that the person selected was an MTN subscriber is 0.43. There were p million MTN subscribers in Nigeria on September 30, 2015. To the nearest integer, what is the value of p ?"
58b109d4,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,The solution to the given system of equations isÃ‚ . What is the value of ?
58dcc59f,ADV_MATH,Nonlinear Functions,,,"A landscaper is designing a rectangular garden. The length of the garden is to be 5 feet longer than the width. If the area of the garden will be 104Ã‚ square feet, what will be the length, in feet, of the garden?"
5907e072,ALGEBRA,Linear Functions,,,"For the linear function , is a constant. WhenÃ‚Â , . What is the value of ?"
590f2187,ALGEBRA,Linear Equations 1 Variable,,,"If , what is the value of ?"
5910bfff,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",1000D Upper,,"The formula above can be used to approximate the dew point D, in degrees Fahrenheit, given the temperature T, in degrees Fahrenheit, and the relative humidity of H percent, where . Which of the following expresses the relative humidity in terms of the temperature and the dew point?"
59352689,ALGEBRA,Systems of Linear Equations,,BB6 UPPER,"In the given system of equations, is a constant. If the system has no solution, what is the value of ?"
59a49431,ALGEBRA,Linear Inequalities,1000D Lower,,The shaded region shown represents solutions to an inequality. Which ordered pair is a solution to this inequality?
59afe8db,ALGEBRA,Linear Equations 1 Variable,,,What value of is the solution to the given equation?
59cb654c,GEOM_TRIG,Area & Volume,,,"The area of a square is square inches. What is the side length, in inches, of this square?"
59d1f4b5,ADV_MATH,Nonlinear Functions,901D Upper,,"The equation above models the number of members,Ã‚ M, of a gym t years after the gym opens. Of the following, which equation models the number of members of the gym q quarter years after the gym opens?"
5a7ab8e8,ALGEBRA,Linear Equations 1 Variable,,BB9 UPPER,How many solutions does the given equation have?
5ad6bc97,ALGEBRA,Linear Functions,,,The function gives the total number of people on a company retreat with managers. What is the total number of people on a company retreat with managers?
5ad9eff0,ALGEBRA,Linear Equations 1 Variable,,,"The width of a rectangular dance floor is w feet. The length of the floor is 6 feet longer than its width. Which of the following expresses the perimeter, in feet, of the dance floor in terms of w ?"
5ae186b4,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",902D Medium,,What is the solution to the given equation?
5afbdc8e,GEOM_TRIG,Area & Volume,,,What is the length of one side of a square that has the same area as a circle with radius 2 ?
5b2b8866,GEOM_TRIG,Area & Volume,,,"A rectangular poster has an area of square inches. A copy of the poster is made in which the length and width of the original poster are each increased by . What is the area of the copy, in square inches?"
5b4757df,GEOM_TRIG,"Lines, Angles, Triangles",903D Upper,,"In triangleÃ‚ , angle is a right angle, point lies on , point lies on , and is parallel to . If the length ofÃ‚ is units, the length of is units, and the area of triangle is square units, what is the length of , in units?"
5b6af6b1,ADV_MATH,Equivalent Expressions,,,Which expression is equivalent toÃ‚ ?
5b7599a6,ALGEBRA,Linear Equations 2 Variables,,,"The graph shows a linear relationship between and . Which equation represents this relationship, where is a positive constant?"
5b8a8475,ALGEBRA,Linear Equations 2 Variables,,,Line is defined by . Line is perpendicular to line in the xy-plane. What is the slope of line ?
5bf0f84a,ADV_MATH,Nonlinear Functions,1000D Lower,,"The function above models the height h, in feet, of an object above ground tÃ‚ seconds after being launched straight up in the air. What does the number 72 represent in the function?"
5bf5136d,ALGEBRA,Linear Inequalities,1000D Upper,,"The triangle inequality theorem states that the sum of any two sides of a triangle must be greater than the length of the third side. If a triangle has side lengths of and , which inequality represents the possible lengths, , of the third side of the triangle?"
5c00c2c1,ADV_MATH,Nonlinear Functions,903D Medium,,"There were no jackrabbits in Australia before 1788 when 24 jackrabbits were introduced. By 1920 the population of jackrabbits had reached 10 billion. If the population had grown exponentially, this would correspond to a 16.2% increase, on average, in the population each year. Which of the following functions best models the population of jackrabbits t years after 1788?"
5c24c861,PSDA,Data 2 Variable,903D Lower,,"A study was done to determine a new carÃ¢â‚¬â„¢s stopping distance when it was traveling at different speeds. The study was done on a dry road with good surface conditions. The results are shown below, along with the graph of a quadratic function that models the data. According to the model, which of the following is the best estimate for the stopping distance, in feet, if the vehicle was traveling 55Ã‚ miles per hour?"
5c3c2e3c,PSDA,Data 1 Variable,901D Medium,,"The weights, in pounds, for 15 horses in a stable were reported, and the mean, median, range, and standard deviation for the data were found. The horse with the lowest reported weight was found to actually weigh 10 pounds less than its reported weight. What value remains unchanged if the four values are reported using the corrected weight?"
5c7d5744,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,The graph of a system of a linear equation and a nonlinear equation is shown. What is the solution to this system?
5c94e6fa,ALGEBRA,Linear Equations 1 Variable,,,"In the given equation, is a constant. The equation has infinitely many solutions. What is the value of ?"
5cf1bbc9,ALGEBRA,Linear Functions,,,"The graph of the function , where , gives the total cost , in dollars, for a certain video game system and games. What is the best interpretation of the slope of the graph in this context?"
5d93c782,ADV_MATH,Equivalent Expressions,,,Which expression is equivalent to ?
5dc386fb,PSDA,Probability,,,"The table below shows the distribution of US states according to whether they have a state-level sales tax and a state- level income tax. 2013 State-Level Taxes Ã‚ State sales tax No state sales tax State income tax 39 4 No state income tax 6 1 Ã‚ To the nearest tenth of a percent, what percent of states with a state-level sales tax do not have a state-level income tax?"
5dd53f73,ADV_MATH,Equivalent Expressions,,,Which expression is equivalent to ?
5e08a055,ALGEBRA,Systems of Linear Equations,,BB10 UPPER,One of the equations in a system of two linear equations is given. The system has no solution. Which equation could be the second equation in the system?
5e422ff9,ALGEBRA,Systems of Linear Equations,902D Upper,,"In the solution to the system of equations above, what is the value of y ?"
5edc8c98,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",901D Upper,,"In the given equation, and are positive constants. The sum of the solutions to the given equation is , where is a constant. What is the value of ?"
5f3ee607,PSDA,Data 2 Variable,,BB9 MEDIUM,Which of the following equations is the most appropriate linear model for the data shown in the scatterplot?
6011a3f8,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,"In the given equation, is a constant. For which of the following values of will the equation have more than one real solution?"
608eeb6e,ALGEBRA,Systems of Linear Equations,,,The solution to the given system of equations is . What is the value of ?
60caadfd,PSDA,Probability,,,"Each rock in a collection of rocks was classified as either igneous, metamorphic, or sedimentary, as shown in the frequency table. Classification Frequency igneous metamorphic sedimentary If one of these rocks is selected at random, what is the probability of selecting a rock that is igneous?"
60f71697,ALGEBRA,Linear Equations 1 Variable,901D Lower,,What value of is the solution to the given equation?
60fdb4d4,ADV_MATH,Equivalent Expressions,,,Which expression is equivalent to ?
6105234d,ALGEBRA,Linear Equations 1 Variable,,BB9 MEDIUM,John paid a total of for a microscope by making a down payment of plus monthly payments of each. Which of the following equations represents this situation?
61b87506,PSDA,Rates & Proportions,,,"For the values and , the ratio of to is to . If is multiplied by , what is multiplied by in order to maintain the same ratio?"
620abf36,ALGEBRA,Linear Equations 1 Variable,,,"If , what is the value of ?"
620fe971,ALGEBRA,Linear Functions,,,"A team of workers has been moving cargo off of a ship. The equation below models the approximate number of tons of cargo, y, that remains to be moved x hours after the team started working. The graph of this equation in the xy-plane is a line. What is the best interpretation of the x-intercept in this context?"
628300a9,ALGEBRA,Linear Equations 1 Variable,,,"A science teacher is preparing the 5Ã‚ stations of a science laboratory. Each station will have either ExperimentÃ‚ A materials or ExperimentÃ‚ B materials, but not both. ExperimentÃ‚ A requires 6Ã‚ teaspoons of salt, and ExperimentÃ‚ B requires 4Ã‚ teaspoons of salt. If x is the number of stations that will be set up for ExperimentÃ‚ A and the remaining stations will be set up for ExperimentÃ‚ B, which of the following expressions represents the total number of teaspoons of salt required?"
62ef6f73,ALGEBRA,Linear Equations 2 Variables,,,A total of squares each have side length . A total of equilateral triangles each have side length . None of these squares and triangles shares a side. The sum of the perimeters of all these squares and triangles is . Which equation represents this situation?
630897df,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,"The speed of sound in dry air, v, can be modeled by the formula , where T is the temperature in degrees Celsius and v is measured in meters perÃ‚ second. Which of the following correctly expresses T in termsÃ‚ ofÃ‚ vÃ‚ ?"
6310adbc,PSDA,Rates & Proportions,,,"The ratio of t to u is 1 to 2, and . What is the value of u ?"
63573fea,PSDA,Percentages,,,"During the first month of sales, a company sold 1,300,000 units of a certain type of smartphone. During the same month, 15% of the units sold were returned. If sales and the return rate remain the same for each of the next 5 months, about how many units of this smartphone will be returned to the company during this 6-month period?"
635f54ee,ADV_MATH,Nonlinear Functions,1000D Upper,,"The surface area of a cube is , where a is a positive constant. Which of the following gives the perimeter of one face of theÃ‚ cube?"
637022d2,ALGEBRA,Linear Equations 2 Variables,,,"The given equation describes the relationship between the number of birds, , and the number of reptiles, , that can be cared for at a pet care business on a given day. If the business cares for reptiles on a given day, how many birds can it care for on this day?"
642519d7,PSDA,Evaluation,,,"A polling agency recently surveyed 1,000 adults who were selected at random from a large city and asked each of the adults, Ã¢â‚¬Å“Are you satisfied with the quality of air in the city?Ã¢â‚¬Â Of those surveyed, 78 percent responded that they were satisfied with the quality of air in the city. Based on the results of the survey, which of the following statements must be true? Of all adults in the city, 78 percent are satisfied with the quality of air in the city. If another 1,000 adults selected at random from the city were surveyed, 78 percent of them would report they are satisfied with the quality of air in the city. If 1,000 adults selected at random from a different city were surveyed, 78 percent of them would report they are satisfied with the quality of air in the city."
64c1f044,GEOM_TRIG,Right Angle Trigonometry,,,"In the triangle shown, what is the value of ?"
64c85440,ALGEBRA,Linear Inequalities,,,"In North America, the standard width of a parking space is at least 7.5 feet and no more than 9.0 feet. A restaurant owner recently resurfaced the restaurantÃ¢â‚¬â„¢s parking lot and wants to determine the number of parking spaces, n, in the parking lot that could be placed perpendicular to a curb that is 135 feet long, based on the standard width of a parking space. Which of the following describes all the possible values of n ?"
64d1f49f,GEOM_TRIG,"Lines, Angles, Triangles",,,"In the figure, two lines intersect at a point. If , what is the value of ?"
651d83bb,PSDA,Data 1 Variable,,,Two different teams consisting of 10 members each ran in a race. Each memberÃ¢â‚¬â„¢s completion time of the race was recorded. The mean of the completion times for each team was calculated and is shown below. Team A: 3.41 minutes Team B: 3.79 minutes Which of the following MUST be true? Every member of team A completed the race in less time than any member of team B. The median time it took the members of team B to complete the race is greater than the median time it took the members of team A to complete the race. There is at least one member of team B who took more time to complete the race than some member of team
652054da,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,"An oceanographer uses the equation to model the speed s, in knots, of an ocean wave, where p represents the period of the wave, in seconds. Which of the following represents the period of the wave in terms of the speed of the wave?"
65c49824,PSDA,Percentages,,,"A school district is forming a committee to discuss plans for the construction of a new high school. Of those invited to join the committee, 15% are parents of students, 45% are teachers from the current high school, 25% are school and district administrators, and the remaining 6 individuals are students. How many more teachers were invited to join the committee than school and district administrators?"
661dfddd,PSDA,Data 2 Variable,901D Upper,,The scatterplot above shows the high temperature on a certain day and the elevation of 8 different locations in the Lake Tahoe Basin. A line of best fit for the data is also shown. Which of the following statements best describes the association between the elevation and the temperature of locations in the Lake Tahoe Basin?
6626cac3,PSDA,Probability,,,"Phone Email Dinner dance 55% 80% Football game 20% 10% Picnic 20% 5% Pool party 5% 5% Total 100% 100% An alumni association survey asked each high school graduate to select the one activity he or she preferred for the associationÃ¢â‚¬â„¢s next event. Some of the people responded by phone, and the others responded by email. The table above shows the distribution of preferred activity, in percent, for each response type used. For the survey, the number of email responses was twice the number of phone responses. If a person who preferred a picnic is selected at random, what is the probability that the person responded by email?"
6670e407,PSDA,Data 1 Variable,902D Lower,,Number of High School Students Who Completed Summer Internships High school Year 2008 2009 2010 2011 2012 Foothill 87 80 75 76 70 Valley 44 54 65 76 82 Total 131 134 140 152 152 The table above shows the number of students from two different high schools who completed summer internships in each of five years. No student attended both schools. Which of the following statements are true about the number of students who completed summer internships for the 5 years shown? The mean number from Foothill High School is greater than the mean number from Valley High School. The median number from Foothill High School is greater than the median number from Valley High School.
6676f055,ADV_MATH,Nonlinear Functions,,,"An engineer wanted to identify the best angle for a cooling fan in an engine in order to get the greatest airflow. The engineer discovered that the function above models the airflow , in cubic feet per minute, as a function of the angle of the fan , in degrees. According to the model, what angle, in degrees, gives the greatest airflow?"
66bce0c1,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,What is the solution set of the equation above?
66f03086,PSDA,Data 1 Variable,,,", , , , , , , , What is the median of the data shown?"
674a4084,PSDA,Rates & Proportions,,,"An insect moves at a speed ofÃ‚ feet per second. What is this speed, in yards per second?"
67c0200a,PSDA,Percentages,,,The number is less than the positive number . The number is greater than . The number is how many times ?
67e866b5,ADV_MATH,Equivalent Expressions,,,Which expression is equivalent to ?
67f4b449,ADV_MATH,Nonlinear Functions,,,"The function gives the area of a rectangle, , if its width is and its length is times its width. Which of the following is the best interpretation of ?"
6863c7ce,ALGEBRA,Linear Functions,,,"The given equation represents the distance , in inches, where represents the number of seconds since an object started moving. Which of the following is the best interpretation of in this context?"
686b5212,GEOM_TRIG,"Lines, Angles, Triangles",,,"In the figure, line is parallel to line , and both lines are intersected by line . If , what is the value of ?"
