QUESTION_ID,TOPIC,SUBTOPIC,mock_appearance,bluebook_appearance,QUESTION_PROMPT
47f2cddd,INFO_IDEAS,Command of Evidence,1000D Lower,,"Ã¢â‚¬Å“The Rock and the SeaÃ¢â‚¬Â is an 1893 poem by Charlotte Perkins Gilman. In the poem, a rock is portrayed as intending to confront and restrain the sea: ______ Which quotation from Ã¢â‚¬Å“The Rock and the SeaÃ¢â‚¬Â most effectively illustrates the claim?"
480ade7e,EXPRESSIONS,Transitions,901D Upper,,"In response to adverse environmental conditions, many plants produce abscisic acid (ABA), a stress hormone. ABA triggers a slowdown in the biological processes of most plants. ______ when the mustard plant Schrenkiella parvula produces ABA in response to an environmental stressor, the hormone triggers accelerated growth. Ã‚ Which choice completes the text with the most logical transition?"
4830ab87,CRAFT,Words in Context,,,"The way in which individual elements are balanced within a photographic image tends to affect how viewers perceive it: symmetry tends to give the elements equal importance, asymmetry emphasizes differences, and radial balance (organizing the elements around a central point) emphasizes the center over the periphery. What a photograph conveys is therefore largely ______ how it is balanced. Which choice completes the text with the most logical and precise word or phrase?"
48555763,CRAFT,Text Structure & Purpose,,,"The following text is from Herman MelvilleÃ¢â‚¬â„¢s 1854 novel The Lightning-rod Man. The stranger still stood in the exact middle of the cottage, where he had first planted himself. His singularity impelled a closer scrutiny. A lean, gloomy figure. Hair dark and lank, mattedly streaked over his brow. His sunken pitfalls of eyes were ringed by indigo halos, and played with an innocuous sort of lightning: the gleam without the bolt. The whole man was dripping. He stood in a puddle on the bare oak floor: his strange walking-stick vertically resting at his side. Which choice best states the function of the underlined sentence in the overall structure of the text?"
485962a6,INFO_IDEAS,Inferences,903D Medium,,"Astronomers investigated the Arabia Terra region of Mars because it appears to contain irregularly shaped craters that may have been caused by massive volcanic explosions. In their investigations of Arabia Terra, the researchers found remnants of ash deposits in an amount and thickness that would result from a massive volcanic eruption. However, erosion and past resurfacing events could have modified the surface of the planet. Therefore, ______ Which choice most logically completes the text?"
486f03da,ENGLISH_CONV,Boundaries,,,The short story Ã¢â‚¬Å“Rogue EnchantmentsÃ¢â‚¬Â by Isabel IbanÃŒÆ’ez appears in Reclaim the ______ anthology of fantasy and science fiction written by authors of Latin American descent. Which choice completes the text so that it conforms to the conventions of Standard English?
4889580c,INFO_IDEAS,Inferences,,,Archaeologists and historians used to believe that the Maya civilization during its Classic period (roughly 250Ã¢â‚¬â€œ900) lacked agricultural marketplaces. One reason for this belief was that these scholars misunderstood the ecology of the regions the Maya inhabited. Marketplaces typically emerge because different individuals or groups want to trade resources they control for resources they donÃ¢â‚¬â„¢t control. Scholars seriously underestimated the ecological diversity of the Maya landscape and thus assumed that ______ Which choice most logically completes the text?
48d0bb34,EXPRESSIONS,Rhetorical Syntesis,902D Lower,,"While researching a topic, a student has taken the following notes: Sam Maloof (1916Ã¢â‚¬â€œ2009) was an American woodworker and furniture designer. He was the son of Lebanese immigrants. He received a Ã¢â‚¬Å“genius grantÃ¢â‚¬Â from the John D. and Catherine T. MacArthur Foundation in 1985. The Museum of Fine Arts in Boston, Massachusetts, owns a rocking chair that Maloof made from walnut wood. The armrests and the seat of the chair are sleek and contoured, and the back consists of seven spindle-like slats. The student wants to describe the rocking chair to an audience unfamiliar with Sam Maloof. Which choice most effectively uses relevant information from the notes to accomplish this goal?"
48e4021d,CRAFT,Text Structure & Purpose,,,"The following text is from Holly Goldberg SloanÃ¢â‚¬â„¢s 2017 novel Short.Ã‚ More than two years ago my parents bought a piano from some people who were moving to Utah. Mom and Dad gave it to my brothers and me for Christmas. I had to act really happy because it was such a big present, but I pretty much hated the thing from the second it was carried into the hallway upstairs, which is right next to my bedroom. The piano glared at me. It was like a songbird in a cage. It wanted to be set free.Ã‚ Ã‚ Ã‚Â©2017 by Holly Goldberg Sloan Which choice best states the main purpose of the text?"
490b205f,CRAFT,Words in Context,,BB5 MEDIUM,"In editor Lisa YaszekÃ¢â‚¬â„¢s introduction to her anthology The Future Is Female! More Classic Science Fiction Stories by Women, Yaszek identifies an increasing sense of ______ feminist mode of writing in the 1970s, in contrast to many woman-authored science fiction stories of the 1920s to 1960s whose politics were less deliberately signaled. Which choice completes the text with the most logical and precise word or phrase?"
493c46bc,INFO_IDEAS,Inferences,,,"In the South Pacific, New Caledonian crows use two different kinds of stick tools. One tool is complex. The crows shape a stick from a rare plant into a hook. The other tool is basic. The crows find a stick without a hook on the ground. The hooked tool is harder to get but is much better than the basic tool at removing prey from holes. When studying New Caledonian crows, ecologist Barbara Klump found that they hold the hooked tools in their claws when not using them, or they carefully put them in a safe place. The crows donâ€™t do the same with the basic tools. This suggests to Klump that the ______ Which choice most logically completes the text?"
4974b053,CRAFT,Words in Context,,BB9 MEDIUM,"Although science fiction was dominated mostly by white male authors when Octavia Butler, a Black woman, began writing, she did not view the genre as ______: Butler broke into the field with the publication of several short stories and her 1976 novel Patternmaster, and she later became the first science fiction writer to win a prestigious MacArthur Fellowship. Which choice completes the text with the most logical and precise word or phrase?"
49bbe4d7,CRAFT,Words in Context,,BB8 LOWER,"For painter Jacob Lawrence, being ______ was an important part of the artistic process. Because he paid close attention to all the details of his Harlem neighborhood, LawrenceÃ¢â‚¬â„¢s artwork captured nuances in the beauty and vitality of the Black experience during the Harlem Renaissance and the Great Migration. Which choice completes the text with the most logical and precise word or phrase?"
49fe306b,EXPRESSIONS,Rhetorical Syntesis,903D Medium,,"While researching a topic, a student has taken the following notes: From Earth, all the meteors in a meteor shower appear to originate from a single spot in the sky. This spot is called the meteor showerÃ¢â‚¬â„¢s radiant. The Perseid meteor shower is visible in the northern hemisphere in July and August. Like many meteor showers, it is named for the location of its radiant. Its radiant is located within the constellation Perseus. The student wants to explain the origin of the Perseid meteor showerÃ¢â‚¬â„¢s name. Which choice most effectively uses relevant information from the notes to accomplish this goal?"
4a2b2535,CRAFT,Words in Context,,,"A brief book review cannot fully convey the ______ of Olga TokarczukÃ¢â‚¬â„¢s novel The Books of Jacob, with its enormous cast of characters, its complicated, wandering plot, and its page numbers that count backward (beginning at 965 and ending at 1). Which choice completes the text with the most logical and precise word or phrase?"
4a85fea6,INFO_IDEAS,Inferences,,BB10 MEDIUM,"Euphorbia esula (leafy spurge) is a Eurasian plant that has become invasive in North America, where it displaces native vegetation and sickens cattle. E. esula can be controlled with chemical herbicides, but that approach can also kill harmless plants nearby. Recent research on introducing engineered DNA into plant species to inhibit their reproduction may offer a path toward exclusively targeting E. esula, consequently ______ Which choice most logically completes the text?"
4a90a978,ENGLISH_CONV,"Form, Structure, and Sense",,,"In 1990, California native and researcher Ellen Ochoa left her position as chief of the Intelligent Systems Technology Branch at a NASA research center ______ the space agencyÃ¢â‚¬â„¢s astronaut training program. Which choice completes the text so that it conforms to the conventions of Standard English?"
4b0c7b62,ENGLISH_CONV,Boundaries,,,The algaita is a double reed wind instrument from West Africa. The reed of a wind instrument is the mouthpiece ______ A double reed contains two pieces of cane that vibrate and produce sound as air passes between them. Which choice completes the text so that it conforms to the conventions of Standard English?
4b376902,EXPRESSIONS,Rhetorical Syntesis,903D Medium,BB10 UPPER,"While researching a topic, a student has taken the following notes: NASA uses rovers, large remote vehicles with wheels, to explore the surface of Mars. NASAÃ¢â‚¬â„¢s rovers canÃ¢â‚¬â„¢t explore regions inaccessible to wheeled vehicles. Rovers are also heavy, making them difficult to land on the planetÃ¢â‚¬â„¢s surface. Microprobes, robotic probes that weigh as little as 50 milligrams, could be deployed virtually anywhere on the surface of Mars. Microprobes have been proposed as an alternative to rovers. The student wants to explain an advantage of microprobes. Which choice most effectively uses relevant information from the notes to accomplish this goal?"
4b4ab04e,CRAFT,Cross-Text Connections,,,"Text 1 Mycoprotein is a fungal biomass that can be eaten as an alternative to meat. Studies of the environmental impact of its manufacture generally agree it is lower than that of beef and closer to that of chicken or pork. But the expense of producing mycoprotein restricts its availability to a few countries with postindustrial economies. Knowing that cost reductions would expand access to mycoprotein, biochemists are exploring solutions, such as a cheaper substrate to feed the mycoprotein as it grows. Ã‚ Text 2 Cattle farming is a principal cause of global deforestation, and a study by Florian HumpenÃƒÂ¶der and his colleagues found that replacing 20% of beef consumption worldwide with consumption of mycoprotein would cut deforestation by half if accomplished over the next thirty years. However, this would likely involve only a small change in agricultural water consumption, since water once dedicated to raising cattle would be diverted to raising crops instead. Based on the texts, how would the author of Text 1 most likely respond to the study findings mentioned in Text 2?"
4b99b481,EXPRESSIONS,Rhetorical Syntesis,,BB6 MEDIUM,"While researching a topic, a student has taken the following notes: Scientists have developed a Ã¢â‚¬Å“freeze-thawÃ¢â‚¬Â battery that can retain 92% of its charge after twelve weeks. The battery contains molten salt (a type of salt that liquifies when heated and solidifies at room temperature). When the salt is in a liquid state, energy flows through the battery. When the salt is in a solid state, energy stops flowing and is stored in the battery. The stored (frozen) energy can be used by reheating (thawing) the battery. The student wants to specify how the salt enables energy storage. Which choice most effectively uses relevant information from the notes to accomplish this goal?"
4ba99a6f,ENGLISH_CONV,Boundaries,,,"Seneca sculptor Marie WattÃ¢â‚¬â„¢s blanket art comes in a range of shapes and sizes. In 2004, Watt sewed strips of blankets together to craft a 10-by-13-inch ______ in 2014, she arranged folded blankets into two large stacks and then cast them in bronze, creating two curving 18-foot-tall blue-bronze pillars. Which choice completes the text so that it conforms to the conventions of Standard English?"
4bed4658,ENGLISH_CONV,"Form, Structure, and Sense",,BB10 LOWER,"In order to prevent nonnative fish species from moving freely between the Mediterranean and Red Seas, marine biologist Bella Galil has proposed that a saline lock system be installed along the Suez Canal in EgyptÃ¢â‚¬â„¢s Great Bitter Lakes. The lock would increase the salinity of the lakes and ______ a natural barrier of water most marine creatures would be unable to cross. Which choice completes the text so that it conforms to the conventions of Standard English?"
4c26f18a,EXPRESSIONS,Rhetorical Syntesis,,,"While researching a topic, a student has taken the following notes: By interlocking their bodies, ants can form bridges to help fellow ants cross gaps. In 2020, Yasemin Ozkan-Aydin was inspired by ant behavior to design collaborative quadruped robots.Ã‚ Over the course of a year, she designed, built, tested, and refined her robots. Each robot is programmed to send a signal to another robot upon encountering a gap in a path. The signaled robot connects to the back of the signaler robot via magnetic sensors and pushes it across the gap. The student wants to begin a narrative about the creation of the robots. Which choice most effectively uses relevant information from the notes to accomplish this goal?"
4c43bf61,EXPRESSIONS,Rhetorical Syntesis,,BB5 MEDIUM,"While researching a topic, a student has taken the following notes: The International Center for the Arts of the Americas (ICAA) is directed by Mari Carmen RamÃƒÂ­rez. RamÃƒÂ­rez oversaw an initiative to create an online archive of historical documents related to the history of Latin American and Latino visual art. The ICAA digitized over 10,000 documents, including the writings of Latin American and Latino artists and critics. The creation of the archive didnÃ¢â‚¬â„¢t require historical documents to be removed from their countries of origin. Scholars now have more access to these documents. The student wants to explain an advantage of the ICAAÃ¢â‚¬â„¢s archive being digital. Which choice most effectively uses relevant information from the notes to accomplish this goal?"
4c4db685,CRAFT,Text Structure & Purpose,,BB6 UPPER,"On painter William H. JohnsonÃ¢â‚¬â„¢s return to the United States in 1938 after a decade in Europe, his style underwent an abrupt transformation. Turning away from landscapes painted in an expressionist styleÃ¢â‚¬â€a style that often involves using fluid, distorted shapes and thick, textured brushstrokes to express the artistÃ¢â‚¬â„¢s subjective experience of realityÃ¢â‚¬â€Johnson began painting portraits of Black Americans in a bold new way. Evocative of African sculpture and American and Scandinavian folk art, these portraits feature flat, deliberately oversimplified figures in a vibrant but limited color palette. Which choice best describes the function of the underlined sentence in the text as a whole?"
4c9a2aee,ENGLISH_CONV,"Form, Structure, and Sense",902D Medium,,Wanda Diaz-Merced is an astrophysicist who lost her sight when she was young. Diaz-MercedÃ¢â‚¬â„¢s condition inspired her to develop software that can translate scientific data into sound. Sound-based tools ______ scientists to detect subtle patterns in data. Such patterns may not be evident in traditional graphs. Which choice completes the text so that it conforms to the conventions of Standard English?
4d1a9c0d,CRAFT,Words in Context,,,"Following the principles of community-based participatory research, tribal nations and research institutions are equal partners in health studies conducted on reservations. A collaboration between the Crow Tribe and Montana State University Ã‚Â­Ã¢â‚¬Â ______ this model: tribal citizens worked alongside scientists to design the methodology and continue to assist in data collection. Which choice completes the text with the most logical and precise word or phrase?"
4d2736f0,EXPRESSIONS,Transitions,,,"In her poetry collection Thomas and Beulah, Rita Dove interweaves the titular charactersÃ¢â‚¬â„¢ personal stories with broader historical narratives. She places ThomasÃ¢â‚¬â„¢s journey from the American South to the Midwest in the early 1900s within the larger context of the Great Migration. ______ Dove sets events from BeulahÃ¢â‚¬â„¢s personal life against the backdrop of the US Civil Rights Movement. Which choice completes the text with the most logical transition?"
4d38c2ea,INFO_IDEAS,Command of Evidence,,,"Gorgets, or necklaces with large pendants, have been part of the ceremonial attire of tribes from the US Southeast for centuries. One of the oldest examples, the Fairfield Gorget, was found in Fairfield, Missouri, in 1958. Its overall design resembles that of other art from the region during the Mississippian period (900Ã¢â‚¬â€œ1600 CE). Yet the image on the gorget is of a jaguarÃ¢â‚¬â€a species whose range doesnÃ¢â‚¬â„¢t extend to Missouri. Jaguar images are common in ancient Mexican art, and Mexico lies squarely in the speciesÃ¢â‚¬â„¢ range. Therefore, some scholars argue that long-distance trade in Mexican art objects brought the imagery to Missouri, where a local artist could have adopted it and incorporated it into the Fairfield Gorget. Which finding, if true, would most strongly support the underlined explanation?"
4d3e3c52,INFO_IDEAS,Central Ideas,,,"In a paper about p-i-n planar perovskite solar cells (one of several perovskite cell architectures designed to collect and store solar power), Lyndsey McMillon-Brown et al. describe a method for fabricating the cellÃ¢â‚¬â„¢s electronic transport layer (ETL) using a spray coating. Conventional ETL fabrication is accomplished using a solution of nanoparticles. The process can result in a loss of up to 80% of the solution, increasing the cost of manufacturing at scaleÃ¢â‚¬â€an issue that may be obviated by spray coating fabrication, which the researchers describe as Ã¢â‚¬Å“highly reproducible, concise, and practical.Ã¢â‚¬Â What does the text most strongly suggest about conventional ETL fabrication?"
4e9afd7a,INFO_IDEAS,Inferences,902D Medium,,"The Indus River valley civilization flourished in South Asia from 3300 BCE to 1300 BCE. Many examples of the civilizationÃ¢â‚¬â„¢s writing system exist, but researchers havenÃ¢â‚¬â„¢t yet deciphered it or identified which ancient language it represents. Nevertheless, archaeologists have found historical artifacts, such as clay figures and jewelry, that provide information about the civilizationÃ¢â‚¬â„¢s customs and how its communities were organized. The archaeologistsÃ¢â‚¬â„¢ findings therefore suggest that ______ Which choice most logically completes the text?"
4eee64fa,CRAFT,Text Structure & Purpose,1000D Upper,,"Space scientists Anna-Lisa Paul, Stephen M. Elardo, and Robert Ferl planted seeds of Arabidopsis thaliana in samples of lunar regolithÃ¢â‚¬â€the surface material of the MoonÃ¢â‚¬â€and, serving as a control group, in terrestrial soil. They found that while all the seeds germinated, the roots of the regolith-grown plants were stunted compared with those in the control group. Moreover, unlike the plants in the control group, the regolith-grown plants exhibited red pigmentation, reduced leaf size, and inhibited growth ratesÃ¢â‚¬â€indicators of stress that were corroborated by postharvest molecular analysis. Which choice best states the main purpose of the text?"
4f2710ab,EXPRESSIONS,Transitions,,BB10 LOWER,"Organisms have evolved a number of surprising adaptations to ensure their survival in adverse conditions. Tadpole shrimp (Triops longicaudatus) embryos, ______ can pause development for over ten years during extended periods of drought. Which choice completes the text with the most logical transition?"
4f2ff5f2,ENGLISH_CONV,"Form, Structure, and Sense",,,"Tortoises can be found in many works of literature. For example, in Tom StoppardÃ¢â‚¬â„¢s 1993 play Arcadia, there is a tortoise that ______ by two names (Plautus and Lightning) and appears in both of the playÃ¢â‚¬â„¢s parallel timelines. As a character, the tortoise symbolizes the connection between the past and present. Which choice completes the text so that it conforms to the conventions of Standard English?"
4f9ee1dc,EXPRESSIONS,Rhetorical Syntesis,,,"While researching a topic, a student has taken the following notes: Seven species of sea turtle exist today. Five sea turtle species can be found in the Atlantic Ocean. One of those species is the KempÃ¢â‚¬â„¢s ridley sea turtle. Its scientific name is Lepidochelys kempii. Another of those species is the olive ridley sea turtle. Its scientific name is Lepidochelys olivacea. The student wants to emphasize a similarity between the two sea turtle species. Which choice most effectively uses relevant information from the notes to accomplish this goal?"
4f9f8ea6,INFO_IDEAS,Inferences,,BB8 MEDIUM,"Birds of many species ingest foods containing carotenoids, pigmented molecules that are converted into feather coloration. Coloration tends to be especially saturated in male birdsÃ¢â‚¬â„¢ feathers, and because carotenoids also confer health benefits, the deeply saturated colors generally serve to communicate what is known as an honest signal of a birdÃ¢â‚¬â„¢s overall fitness to potential mates. However, ornithologist Allison J. Shultz and others have found that males in several species of the tanager genus Ramphocelus use microstructures in their feathers to manipulate light, creating the appearance of deeper saturation without the birds necessarily having to maintain a carotenoid-rich diet. These findings suggest that ______ Which choice most logically completes the text?"
4fa7e50e,CRAFT,Words in Context,,,"According to a US tax policy expert, state taxes are ______ other factors when considering an interstate move. Even significant differences in state taxation have almost no effect on most peopleÃ¢â‚¬â„¢s decisions, while differences in employment opportunities, housing availability, and climate are strong influences. Which choice completes the text with the most logical and precise word or phrase?"
4fc9a13a,INFO_IDEAS,Command of Evidence,,BB9 LOWER,"The novelist Toni Morrison was the first Black woman to work as an editor at the publishing company Random House, from 1967 to 1983. A scholar asserts that one of Morrisonâ€™s likely aims during her time as an editor was to strengthen the presence of Black writers on the list of Random Houseâ€™s published authors. Which finding, if true, would most strongly support the scholarâ€™s claim?"
4fde4454,EXPRESSIONS,Transitions,,BB10 MEDIUM,"One poll taken after the first 1960 presidential debate suggested that John Kennedy lost badly: only 21 percent of those who listened on the radio rated him the winner. ______ the debate was ultimately considered a victory for the telegenic young senator, who rated higher than his opponent, Vice President Richard Nixon, among those watching on the new medium of television. Ã‚ Which choice completes the text with the most logical transition?"
50445680,ENGLISH_CONV,"Form, Structure, and Sense",,BB8 LOWER,"In winter, the diets of Japanese macaques, also known as snow monkeys, are influenced more by food availability than by food preference. Although the monkeys prefer to eat vegetation and land-dwelling invertebrates, those food sources may become unavailable because of extensive snow and ice cover, ______ the monkeys to hunt for marine animals in any streams that have not frozen over. Which choice completes the text so that it conforms to the conventions of Standard English?"
50801257,ENGLISH_CONV,"Form, Structure, and Sense",903D Upper,,"In 1994, almost 200 years after the death of Wang Zhenyi, the International Astronomical ______ the contributions of the barrier-breaking 18th-century astronomer and author of Ã¢â‚¬Å“Dispute of the Procession of the Equinoxes,Ã¢â‚¬Â naming a crater on Venus after her. Which choice completes the text so that it conforms to the conventions of Standard English?"
5105ca38,INFO_IDEAS,Inferences,,,"Several artworks found among the ruins of the ancient Roman city of Pompeii depict a female figure fishing with a cupid nearby. Some scholars have asserted that the figure is the goddess Venus, since she is known to have been linked with cupids in Roman culture, but University of Leicester archaeologist Carla Brain suggests that cupids may have also been associated with fishing generally. The fact that a cupid is shown near the female figure, therefore, ______ Which choice most logically completes the text?"
512f0ac9,ENGLISH_CONV,"Form, Structure, and Sense",,,"Working from an earlier discovery of CharpentierÃ¢â‚¬â„¢s, chemists Emmanuelle Charpentier and Jennifer DoudnaÃ¢â‚¬â€winners of the 2020 Nobel Prize in ChemistryÃ¢â‚¬â€re-created and then reprogrammed the so-called Ã¢â‚¬Å“genetic scissorsÃ¢â‚¬Â of a species of DNA- cleaving bacteria ______ a tool that is revolutionizing the field of gene technology. Which choice completes the text so that it conforms to the conventions of Standard English?"
5179fd36,CRAFT,Words in Context,,BB5 LOWER,"Urban planning expert Francisco Lara-Valencia and colleagues have argued that managing environmental matters along the US-Mexico border ______ coordination between the two countriesÃ¢â‚¬â„¢ governments. Since ecosystems extend across the border, actions taken on one side can have environmental effects on the other side, making international cooperation essential.Ã‚ Which choice completes the text with the most logical and precise word or phrase?"
5222ffab,EXPRESSIONS,Rhetorical Syntesis,902D Lower,,"While researching a topic, a student has taken the following notes: Neuroscientists Krishnan Padmanabhan and Zhen Chen sought to better understand the workings of the brainÃ¢â‚¬â„¢s olfactory system. They devised a study using mathematical models. They found that certain fibers allow the brain to toggle from one method of processing smells to another. In one method, cells in the piriform cortex (where the perception of odor forms) capture olfactory information at a given moment. In the other, the cells track changes in olfactory information over time. The student wants to summarize the studyÃ¢â‚¬â„¢s findings. Which choice most effectively uses relevant information from the notes to accomplish this goal?"
52b31d7b,EXPRESSIONS,Transitions,,BB10 UPPER,"In November 1934, Amrita Sher-Gil was living in what must have seemed like the ideal city for a young artist: Paris. She was studying firsthand the color-saturated style of FranceÃ¢â‚¬â„¢s modernist masters and beginning to make a name for herself as a painter. ______ Sher-Gil longed to return to her childhood home of India; only there, she believed, could her art truly flourish. Which choice completes the text with the most logical transition?"
52b61716,ENGLISH_CONV,"Form, Structure, and Sense",,BB8 MEDIUM,"Formed in 1967 to foster political and economic stability within the Asia-Pacific region, the Association of Southeast Asian Nations was originally made up of five members: Thailand, the Philippines, Singapore, Malaysia, and Indonesia. By the end of the 1990s, the organization ______ its initial membership. Which choice completes the text so that it conforms to the conventions of Standard English?"
52fe862a,CRAFT,Words in Context,,,"Researcher Lucy Salazar is using radiocarbon dating to study Machu Picchu, an ancient Incan fortress in the Andes Mountains. She and her colleagues have found that the siteÃ¢â‚¬â„¢s age differs from the ______ estimate: it is approximately 20 years older than scholars thought when first encountering Machu Picchu in 1911. Which choice completes the text with the most logical and precise word or phrase?"
5325b3cc,INFO_IDEAS,Central Ideas,901D Medium,,"PhiladelphiaÃ¢â‚¬â„¢s Black Pearl Chamber Orchestra, founded by Jeri Lynne Johnson, performs classical music, from well-known compositions by Beethoven to contemporary works by Jessie Montgomery. For the orchestraÃ¢â‚¬â„¢s iConduct! program, Johnson invites community members to learn some basic elements of conducting and then experience conducting the Black Pearl orchestra themselves. Which choice best states the main idea of the text?"
5336f2e4,CRAFT,Text Structure & Purpose,,BB8 UPPER,"The following text is adapted from Zora Neale HurstonÃ¢â‚¬â„¢s 1921 short story Ã¢â‚¬Å“John Redding Goes to Sea.Ã¢â‚¬Â John is a child who lives in a town in the woods. Perhaps ten-year-old John was puzzling to the folk there in the Florida woods for he was an imaginative child and fond of day-dreams. The St. John River flowed a scarce three hundred feet from his back door. On its banks at this point grow numerous palms, luxuriant magnolias and bay trees. On the bosom of the stream float millions of delicately colored hyacinths. [John Redding] loved to wander down to the waterÃ¢â‚¬â„¢s edge, and, casting in dry twigs, watch them sail away down stream to Jacksonville, the sea, the wide world and [he] wanted to follow them. Which choice best describes the function of the underlined sentence in the text as a whole?"
53542eb5,CRAFT,Words in Context,,,"Shoppers can help keep money cycling within a community by making purchases at small local businesses instead of large retailers. Some cities are ______ programs to encourage this behavior, establishing reward points and other incentives for shopping at small businesses. Which choice completes the text with the most logical and precise word or phrase?"
53c6c179,INFO_IDEAS,Command of Evidence,,,"35 30 25 20 15 10 5 0 Median marriage age 1900 1910 1920 1930 1940 1950 1960 1970 1980 1990 2000 Median Ages of First Marriage for Men and Women in the United States and in England and Wales, 1900Ã¢â‚¬â€œ2000 Years Women (England and Wales) Men (United States) Women (United States) Men (England and Wales) A sociology student is reading an essay on the median age of first marriage in Western countries throughout the twentieth century. The author of the essay cites factors common to these countries that the author believes caused an increase in the median age of first marriage, such as new technologies that shortened the time needed for domestic chores, making two- person households less necessary and living alone more viable. The student asserts that beyond these factors there must be additional ones specific to particular Western countries that influenced the increase of age at first marriage. Which choice most effectively uses data from the graph that support the studentÃ¢â‚¬â„¢s assertion?"
54057e3f,INFO_IDEAS,Inferences,,BB10 LOWER,"Although military veterans make up a small proportion of the total population of the United States, they occupy a significantly higher proportion of the jobs in the civilian government. One possible explanation for this disproportionate representation is that military service familiarizes people with certain organizational structures that are also reflected in the civilian government bureaucracy, and this familiarity thus ______ Which choice most logically completes the text?"
5432d1de,INFO_IDEAS,Inferences,902D Medium,,"ItÃ¢â‚¬â„¢s common for jazz musicians and fans to refer to certain songs as having Ã¢â‚¬Å“swing,Ã¢â‚¬Â indicating that the songs provoke a strong feeling, like the impulse to tap oneÃ¢â‚¬â„¢s foot or dance. The exact acoustic properties that give a song swing, however, have long been thought to be undefinable. To investigate swing, a team led by physicist Corentin Nelias delayed the downbeats and synchronized the offbeats in jazz piano solos and asked jazz musicians to compare the intensity of swing in each modified piece with the intensity of swing in the original piece. They found that participants were more than seven times likelier to characterize the modified songs as having swing than to characterize the original versions as having swing, suggesting that ______ Which choice most logically completes the text?"
5444db38,CRAFT,Words in Context,,BB5 UPPER,"To demonstrate that the integrity of underground metal pipes can be assessed without unearthing the pipes, engineer Aroba Saleem and colleagues ______ the tendency of some metalsÃ¢â‚¬â„¢ internal magnetic fields to alter under stress: the team showed that such alterations can be measured from a distance and can reveal concentrations of stress in the pipes. Which choice completes the text with the most logical and precise word or phrase?"
54804e10,CRAFT,Words in Context,901D Upper,,"While scholars believe many Mesoamerican cities influenced each other, direct evidence of such influence is difficult to ascertain. However, recent excavations in a sector of Tikal (Guatemala) unearthed a citadel that shows ______ TeotihuacÃƒÂ¡n (Mexico) architectureÃ¢â‚¬â€including a near replica of a famed TeotihuacÃƒÂ¡n templeÃ¢â‚¬â€providing tangible evidence of outside influence in portions of Tikal. Which choice completes the text with the most logical and precise word or phrase?"
548f4956,ENGLISH_CONV,Boundaries,,,"It is generally true that technological change is a linear process, in which once-useful technologies are replaced by new and better ______ the reawakening of interest in the steam engine (from advocates of carbon-neutral rail travel) reminds us that ostensibly obsolete technologies may be brought back into service to address societyÃ¢â‚¬â„¢s changing needs. Which choice completes the text so that it conforms to the conventions of Standard English?"
54c1b2dd,EXPRESSIONS,Rhetorical Syntesis,,BB9 MEDIUM,"While researching a topic, a student has taken the following notes: In 1851, German American artist Emanuel Leutze painted Washington Crossing the Delaware. His huge painting (149 Ãƒâ€” 255 inches) depicts the first US president crossing a river with soldiers in the Revolutionary War. In 2019, Cree artist Kent Monkman painted mistikÃƒÂ´siwak (Wooden Boat People): Resurgence of the People. MonkmanÃ¢â‚¬â„¢s huge painting (132 Ãƒâ€” 264 inches) was inspired by LeutzeÃ¢â‚¬â„¢s. It portrays Indigenous people in a boat rescuing refugees. The student wants to emphasize a similarity between the two paintings. Which choice most effectively uses relevant information from the notes to accomplish this goal?"
54c6128b,CRAFT,Text Structure & Purpose,901D Medium,,"When ancient oak planks were unearthed during subway construction in Rome, Mauro Bernabei and his team examined the growth rings in the wood to determine where these planks came from. By comparing the growth rings on the planks to records of similar rings in oaks from Europe, the team could trace the wood to the Jura region of France, hundreds of kilometers from Rome. Because timber could only have been transported from distant Jura to Rome by boat, the teamÃ¢â‚¬â„¢s findings suggest the complexity of Roman trade routes. Which choice best describes the function of the underlined sentence in the text as a whole?"
5514fd1f,CRAFT,Words in Context,,,"Archaeologist Erika Karuzas works with the Confederated Salish and Kootenai Tribes of Montana to preserve culturally significant sites. In 2015 they decided that creating a new national trail connecting many of these sites would ______ their preservation efforts, because the US government provides some protections to national trails that arenÃ¢â‚¬â„¢t given to other areas. Which choice completes the text with the most logical and precise word or phrase?"
55688b3c,INFO_IDEAS,Inferences,,,"Dutch painters in the sixteenth and seventeenth centuries often showed tables filled with large wheels of cheese or carved shards of butter. Some art historians, noting that dairy products were a major component of the Dutch diet, interpret these depictions as reflections of everyday Dutch eating habits. However, a group of researchers recently reviewed hundreds of food-related paintings and found that lemonsÃ¢â‚¬â€which could only be acquired in the Netherlands at great cost, since they had to be imported from warmer climatesÃ¢â‚¬â€feature in Dutch paintings of the period more than three times as frequently as dairy products do, thereby casting doubt on the idea that ______ Which choice most logically completes the text?"
